Tree ID,Tree Species,Chemical Compound,Concentration,Measurement Date,Location,Season,Tree Age (years),pH Level,Soil Type,Fruit Stage
A001,Apple,Sugars,300.1,2024-04-01,SKUAST Orchard A,Spring,9,6.4,Loamy,Fruiting
A001,Apple,Malic Acid,1.3,2024-04-01,SKUAST Orchard A,Spring,9,6.4,Loamy,Fruiting
A001,Apple,Vitamin C,0.5,2024-04-01,SKUAST Orchard A,Spring,9,6.4,Loamy,Fruiting
A001,Apple,Chlorophyll,2.7,2024-04-01,SKUAST Orchard A,Spring,9,6.4,Loamy,Fruiting
A001,Apple,Sugars,320.5,2024-04-15,SKUAST Orchard A,Spring,9,6.5,Loamy,Fruiting
A001,Apple,Malic Acid,1.4,2024-04-15,SKUAST Orchard A,Spring,9,6.5,Loamy,Fruiting
A001,Apple,Vitamin C,0.6,2024-04-15,SKUAST Orchard A,Spring,9,6.5,Loamy,Fruiting
A001,Apple,Chlorophyll,2.9,2024-04-15,SKUAST Orchard A,Spring,9,6.5,Loamy,Fruiting
A002,Apple,Sugars,280.3,2024-04-01,SKUAST Orchard A,Spring,8,6.3,Loamy,Fruiting
A002,Apple,Malic Acid,1.2,2024-04-01,SKUAST Orchard A,Spring,8,6.3,Loamy,Fruiting
A002,Apple,Vitamin C,0.4,2024-04-01,SKUAST Orchard A,Spring,8,6.3,Loamy,Fruiting
A002,Apple,Chlorophyll,2.5,2024-04-01,SKUAST Orchard A,Spring,8,6.3,Loamy,Fruiting
C001,Cherry,Sugars,250.5,2024-05-10,SKUAST Orchard B,Spring,7,6.8,Clay Loam,Fruiting
C001,Cherry,Anthocyanins,4.1,2024-05-10,SKUAST Orchard B,Spring,7,6.8,Clay Loam,Fruiting
C001,Cherry,Vitamin C,0.6,2024-05-10,SKUAST Orchard B,Spring,7,6.8,Clay Loam,Fruiting
C001,Cherry,Pectin,1.5,2024-05-10,SKUAST Orchard B,Spring,7,6.8,Clay Loam,Fruiting
C001,Cherry,Sugars,265.8,2024-05-25,SKUAST Orchard B,Spring,7,6.9,Clay Loam,Fruiting
C001,Cherry,Anthocyanins,4.3,2024-05-25,SKUAST Orchard B,Spring,7,6.9,Clay Loam,Fruiting
C001,Cherry,Vitamin C,0.7,2024-05-25,SKUAST Orchard B,Spring,7,6.9,Clay Loam,Fruiting
C001,Cherry,Pectin,1.6,2024-05-25,SKUAST Orchard B,Spring,7,6.9,Clay Loam,Fruiting
C002,Cherry,Sugars,240.2,2024-05-10,SKUAST Orchard B,Spring,6,6.7,Clay Loam,Fruiting
C002,Cherry,Anthocyanins,3.9,2024-05-10,SKUAST Orchard B,Spring,6,6.7,Clay Loam,Fruiting
C002,Cherry,Vitamin C,0.5,2024-05-10,SKUAST Orchard B,Spring,6,6.7,Clay Loam,Fruiting
C002,Cherry,Pectin,1.4,2024-05-10,SKUAST Orchard B,Spring,6,6.7,Clay Loam,Fruiting
K001,Kiwi,Vitamin C,150.3,2024-06-20,SKUAST Orchard C,Summer,5,6.0,Sandy Loam,Ripening
K001,Kiwi,Sugars,200.8,2024-06-20,SKUAST Orchard C,Summer,5,6.0,Sandy Loam,Ripening
K001,Kiwi,Actinidin,0.9,2024-06-20,SKUAST Orchard C,Summer,5,6.0,Sandy Loam,Ripening
K001,Kiwi,Fiber,2.1,2024-06-20,SKUAST Orchard C,Summer,5,6.0,Sandy Loam,Ripening
K001,Kiwi,Vitamin C,155.6,2024-07-05,SKUAST Orchard C,Summer,5,6.1,Sandy Loam,Ripening
K001,Kiwi,Sugars,210.2,2024-07-05,SKUAST Orchard C,Summer,5,6.1,Sandy Loam,Ripening
K001,Kiwi,Actinidin,1.0,2024-07-05,SKUAST Orchard C,Summer,5,6.1,Sandy Loam,Ripening
K001,Kiwi,Fiber,2.2,2024-07-05,SKUAST Orchard C,Summer,5,6.1,Sandy Loam,Ripening
K002,Kiwi,Vitamin C,145.8,2024-06-20,SKUAST Orchard C,Summer,4,5.9,Sandy Loam,Ripening
K002,Kiwi,Sugars,195.4,2024-06-20,SKUAST Orchard C,Summer,4,5.9,Sandy Loam,Ripening
K002,Kiwi,Actinidin,0.8,2024-06-20,SKUAST Orchard C,Summer,4,5.9,Sandy Loam,Ripening
K002,Kiwi,Fiber,2.0,2024-06-20,SKUAST Orchard C,Summer,4,5.9,Sandy Loam,Ripening 
